"","id.new","date.col","RM","features","Provenance","NEW.TLS","WT","vat.cum","year","Wr","hatch","Sr","Ba","Mn","P","Cu","Mg"
"50","MSC11",2020-12-07,NA,"Tapeats",NA,462,NA,0,"2020",NA,2016,3.02894864900869,0.0110919895204281,0.00663154116574308,255126.662526366,0.00433117012336025,0.0974060230336592
"51","MSC12",2020-12-07,NA,"Tapeats",NA,425,NA,0,"2020",NA,2017,3.16811444998342,0.0243303790433594,0.00384849223634179,68212.8124975822,0.00482615455350606,0.0479739972841648
"52","TP01",2020-03-01,NA,"Tapeats",NA,534,1444,0,"2020",89.7521937279306,2015,0.391619584678429,0.0264789886914155,0.00181325866815384,46697.6995769114,0.00141754528230705,0.0481834082638762
"53","TP02",2020-03-01,NA,"Tapeats","Tapeats",141,31.3,0,"2020",100.19724122798,2020,0.458296686375549,0.0281001906866797,0.00181825652633612,101896.018427238,0.000666594313525026,0.0602102130128142
"54","TP06",2020-03-01,NA,"Tapeats","Tapeats",171,53,22,"2020",95.853369225314,2020,0.459744032282099,0.0412740762058504,0.00220997975053277,370421.96984946,0.0017287911956167,0.0888578581914981
"55","TP07",2020-03-01,NA,"Tapeats","Tapeats",204,85,0,"2020",91.1829482176748,2019,0.502077078428456,0.0473520377068404,0.00147788443122505,106010.655348515,0.00097814065784883,0.0391561182163481
"56","TPE04",2020-03-01,NA,"Tapeats","Tapeats",106,13,0,"2020",96.8362562776771,2020,0.495390281908555,0.0255403517824028,0.00147925196538971,202370.359302321,0.00121260407011535,0.0440516598667346
"57","TPE05",2020-03-01,NA,"Tapeats","Tapeats",112,13,0,"2020",82.2731272110208,2020,0.444650238054348,0.0320602796903749,0.00107210252620255,300069.241269013,0.00135849827295777,0.0456347946982162
"58","VRT01",2022-06-10,NA,"Tapeats","Tapeats",189,NA,0,"2022",NA,2021,0.426784419549275,0.0274378040654541,0.00190741987213955,67376.0245826834,0.000761262618061369,0.0329598374434412
"59","MSC05",2021-04-08,159.3,"Western GC",NA,364,418,0,"2021",80.7822948126474,2018,3.6592328251519,0.00644602162947341,0.000809623684597867,110669.32597907,0.00124557464086457,0.049010004203533
"60","MSC09",2021-04-08,174.76,"Western GC",NA,187,NA,58.5,"2021",NA,2019,0.949263069977495,0.0327341973683064,0.00151361133771763,226651.034894459,0.0017218685834776,0.07247067270773
"61","MSC15",2021-04-08,176.06,"Western GC",NA,126,NA,0,"2021",NA,2020,0.393141124517276,0.0204122300706085,0.00141078024896019,403737.047971288,0.00104647530534262,0.0556543115066519
"62","MSC16",2021-04-08,173.91,"Western GC",NA,184,65,40,"2021",94.6351773908496,2020,4.23953195815567,0.0331704406183864,0.00129554274502558,369488.820867402,0.000952890182905701,0.0454300291631589
"63","MSC45",2017-10-16,211.15,"Western GC",NA,465.2766,1230,0,"2017",NA,2013,3.93205230046613,0.0277306517571073,0.00328709713853859,31851.7313429622,0.000690766209133116,0.0327653500446078
"64","MSC48",2019-07-16,210.62,"Western GC",NA,708.2201,3196,6,"2019",NA,2012,0.394703510330816,0.0840695861270924,0.00514963565022179,120844.845510041,0.00412054259235218,0.0567513984474796
"65","MGR09",2014-04-04,7.64,"Marble C.",NA,494.01,NA,0,"2014",NA,2008,4.52115737759107,0.0266678935015643,0.00282176808887339,83396.6431410684,0.000393273811420448,0.0273164718934094
"66","MGR12",2013-01-13,17.22,"Marble C.",NA,NA,NA,79.5,"2013",NA,2008,5.10948092015154,0.0449827656028143,0.00390431412934045,290879.020160921,0.00058893873916723,0.0357259785253337
"67","MGR13",2013-04-06,18.7,"Marble C.",NA,362.43,NA,0,"2013",NA,2010,0.382665207710642,0.054981871013217,0.00544832393803218,104301.569079056,0.000514630029114309,0.0484471261215284
"68","MGR14",2013-04-06,17.82,"Marble C.",NA,412.41,NA,0,"2013",NA,2009,0.35024373779249,0.0377653455158248,0.00273398675578926,74274.6516985974,0.000468471653349932,0.0281881575151517
"69","MGR15",2013-04-02,2.55,"Marble C.",NA,438.93,NA,0,"2013",NA,2008,3.52368477015862,0.0152501136164856,0.00430841862325172,47908.2655806242,0.000853935607151927,0.0282509999482186
"70","MGR16",2015-04-04,3.97,"Marble C.",NA,456.27,NA,48,"2015",NA,2011,4.20162395415736,0.0269850590845865,0.00454469741690897,81837.8681808069,0.000949923030557402,0.0464164891425645
"71","MGR17",2015-04-04,5.87,"Marble C.",NA,436.89,NA,19.5,"2015",NA,2011,4.43621658980016,0.0466652868582542,0.00833827619363292,124157.721223656,0.000711090610568835,0.0481671522970137
"72","MSC07",2021-04-08,37.69,"Marble C.",NA,240,126,0,"2021",83.5497721099903,2019,3.90850386542921,0.0122331195451528,0.00239440110367708,265136.637402612,0.00176882452611682,0.0775189785650209
"73","MSC17",2014-09-15,39.89,"Marble C.",NA,488,1406,0,"2014",114.09395831022,2010,0.379512397940223,0.0530969192647085,0.00450984061460991,64301.0217221317,0.000537296317080362,0.0421553197281622
"74","MSC25",2015-01-12,37.74,"Marble C.",NA,479,1312,0,"2015",112.496941516829,2010,0.357487936582688,0.0395242941343735,0.00275652676923849,50071.7803961558,0.000417054782640644,0.0340680027566603
"75","MSC32.2",2014-09-15,39.6,"Marble C.",NA,399,742,0,"2014",109.275835084283,2011,0.394710376267766,0.0434607134044573,0.0034891894332617,43429.2406871694,0.000385518872765428,0.0284599984092141
"76","MSC37",2014-09-05,40.32,"Marble C.",NA,459.1776,NA,0,"2014",NA,2011,3.7414088812226,0.0270788232615494,0.00340619542350552,56649.2211591468,0.000929941940871507,0.0249930539405406
"77","MSC39",2015-01-13,39.45,"Marble C.",NA,445.9631,NA,0,"2015",NA,2011,3.88226186717188,0.0229274906146281,0.00467822599973793,72937.1639616544,0.00164072787227893,0.0347135049067291
"78","MSC40",2014-09-13,18.7,"Marble C.",NA,368.7091,NA,0,"2014",NA,2011,0.380655240844787,0.0427815282582483,0.00419838949093261,79935.4165570378,0.000646136790802145,0.0337584397484234
"79","MSC50",2013-04-08,39.45,"Marble C.",NA,706.1871,NA,0,"2013",NA,2003,5.32849304761094,0.0311585714349386,0.00437532525720989,77965.9031776476,0.00123878425074129,0.0337570376803011
"80","MSC54",2013-04-09,41.04,"Marble C.",NA,353.4616,NA,13.5,"2013",NA,2010,0.341128263293584,0.0382794135456007,0.00366826438305414,48188.0983621812,0.00152361895522898,0.0438461108451358
